# alpha,l2_mean,l2_std,l1_mean,l1_std,hub_mean,hub_std
1.09E+01,3.25E-01,1.44E-02,2.61E-01,4.09E-02,2.27E-01,1.01E-02
1.19E+01,3.06E-01,1.59E-02,2.35E-01,2.52E-02,2.07E-01,9.02E-03
1.31E+01,2.98E-01,2.23E-02,2.22E-01,3.22E-02,1.87E-01,7.62E-03
1.43E+01,2.72E-01,1.18E-02,2.07E-01,2.35E-02,1.81E-01,9.48E-03
1.57E+01,2.53E-01,1.50E-02,1.96E-01,2.25E-02,1.58E-01,3.37E-03
1.72E+01,2.35E-01,1.07E-02,1.64E-01,1.34E-02,1.45E-01,7.29E-03
1.89E+01,2.25E-01,1.48E-02,1.62E-01,1.41E-02,1.36E-01,5.04E-03
2.07E+01,2.00E-01,7.56E-03,1.42E-01,1.63E-02,1.22E-01,5.20E-03
2.27E+01,1.88E-01,1.13E-02,1.33E-01,9.34E-03,1.13E-01,4.37E-03
2.49E+01,1.78E-01,7.59E-03,1.23E-01,1.44E-02,1.05E-01,5.06E-03
2.73E+01,1.58E-01,8.21E-03,1.19E-01,1.41E-02,9.38E-02,5.01E-03
3.00E+01,1.52E-01,5.07E-03,inf,nan,8.70E-02,4.79E-03
3.29E+01,1.35E-01,7.50E-03,9.90E-02,1.44E-02,7.85E-02,2.79E-03
3.61E+01,1.27E-01,5.12E-03,8.97E-02,1.26E-02,7.30E-02,2.84E-03
3.96E+01,1.17E-01,4.94E-03,inf,nan,6.59E-02,3.35E-03
4.34E+01,1.04E-01,4.50E-03,7.12E-02,1.00E-02,6.11E-02,2.71E-03
4.76E+01,9.74E-02,6.06E-03,inf,nan,5.49E-02,2.16E-03
5.22E+01,8.89E-02,4.89E-03,inf,nan,5.28E-02,3.42E-03
5.72E+01,8.48E-02,3.35E-03,inf,nan,4.47E-02,2.32E-03
6.27E+01,7.63E-02,4.12E-03,inf,nan,4.12E-02,2.19E-03
6.88E+01,7.03E-02,2.66E-03,inf,nan,3.83E-02,1.85E-03
7.55E+01,6.29E-02,2.66E-03,inf,nan,3.51E-02,1.47E-03
8.28E+01,5.90E-02,2.19E-03,4.23E-02,4.47E-03,3.20E-02,1.93E-03
9.08E+01,5.41E-02,1.92E-03,3.58E-02,2.57E-03,2.93E-02,1.21E-03
9.95E+01,4.95E-02,1.83E-03,3.35E-02,2.94E-03,2.67E-02,1.23E-03
1.09E+02,4.47E-02,2.43E-03,inf,nan,2.52E-02,1.35E-03
1.20E+02,4.15E-02,1.30E-03,2.85E-02,4.69E-03,2.15E-02,7.03E-04
1.31E+02,3.80E-02,1.47E-03,inf,nan,2.04E-02,1.08E-03
1.44E+02,3.41E-02,1.63E-03,inf,nan,1.83E-02,1.06E-03
1.58E+02,3.12E-02,9.06E-04,2.20E-02,3.57E-03,1.70E-02,6.90E-04
1.73E+02,2.84E-02,1.02E-03,1.96E-02,3.84E-03,1.54E-02,6.97E-04
1.90E+02,2.67E-02,1.47E-03,1.85E-02,3.99E-03,1.44E-02,1.65E-03
2.08E+02,2.41E-02,1.56E-03,inf,nan,1.31E-02,1.73E-03
2.28E+02,2.16E-02,9.71E-04,1.56E-02,1.77E-03,1.18E-02,8.05E-04
2.50E+02,2.03E-02,9.15E-04,1.36E-02,3.97E-03,1.09E-02,1.18E-03
2.75E+02,1.82E-02,6.13E-04,1.18E-02,1.23E-03,1.06E-02,1.75E-03
3.01E+02,1.68E-02,7.50E-04,1.58E-02,8.03E-03,8.72E-03,3.52E-04
3.30E+02,1.51E-02,8.55E-04,1.12E-02,2.97E-03,8.01E-03,2.32E-04
3.62E+02,1.37E-02,6.18E-04,1.22E-02,5.29E-03,7.45E-03,6.88E-04
3.97E+02,1.32E-02,6.63E-04,9.81E-03,3.24E-03,6.64E-03,2.20E-04
4.36E+02,1.13E-02,3.72E-04,8.94E-03,4.47E-03,6.86E-03,1.88E-03
4.78E+02,1.05E-02,4.70E-04,8.42E-03,2.74E-03,6.39E-03,1.91E-03
5.24E+02,9.52E-03,5.03E-04,6.43E-03,8.92E-04,5.21E-03,2.28E-04
5.75E+02,8.89E-03,2.71E-04,1.00E-02,8.62E-03,5.06E-03,9.09E-04
6.30E+02,8.11E-03,4.97E-04,1.10E-02,1.16E-02,4.87E-03,1.37E-03
6.91E+02,7.41E-03,2.59E-04,6.01E-03,2.49E-03,3.98E-03,4.96E-04
7.58E+02,6.60E-03,2.20E-04,7.36E-03,4.83E-03,3.64E-03,2.74E-04
8.31E+02,6.10E-03,1.68E-04,4.62E-03,1.27E-03,3.64E-03,6.55E-04